job_id,pending_time,total_executed_time,progress,submit_time,end_time,preempt,resume,num_gpu,expect_time,expect_time_list,expect_value_list,miss_ddl,gt_miss_ddl,gt_expect_time,best_effort,duration,queue_priority
167,220244,622317,622317.0,3860956,4703517.5,1296,1297,1,905924,906093,10,0.0,0,906093,0,621669,0
168,110,33345,33345.0,3861010,3894465.5,138,139,1,35646,35646,10,0.0,0,35646,0,33276,1
169,2475,23021,23021.0,3861045,3886541.0,47,48,1,28155,28223,10,0.0,0,28223,0,22997,0
170,72032,33345,33345.0,3861088,3966465.5,138,139,1,28750,28750,10,1,1,28750,0,33276,-1
171,45001,28,28.0,3862199,3907228.5,0,1,4,20,20,10,1,1,20,0,27,-1
172,230125,622317,622317.0,3871955,4724397.5,1296,1297,1,915805,915936,10,0.0,0,915936,0,621669,0
173,1644,5650,5650.0,3871956,3879250.0,11,12,1,8124,8240,10,0.0,0,8240,0,5644,0
174,204,13979,13979.0,3871956,3886139.5,58,59,1,14695,14695,10,0.0,0,14695,0,13950,1
175,62124,4469,4469.0,3871956,3938549.5,18,19,1,2820,2820,10,1,1,2820,0,4460,-1
176,61164,4469,4469.0,3871956,3937589.5,18,19,1,2265,2265,10,1,1,2265,0,4460,-1
177,90684,622317,622317.0,3871956,4584957.5,1296,1297,1,776364,776533,10,0.0,0,776533,0,621669,0
178,204,28967,28967.0,3871956,3901127.5,120,121,1,30140,30140,10,0.0,0,30140,0,28907,1
179,63562,13979,13979.0,3871958,3949499.5,58,59,1,9105,9105,10,1,1,9105,0,13950,-1
180,61825,5656,5656.0,3872015,3939496.0,23,24,1,3408,3408,10,1,1,3408,0,5644,-1
181,61099,4469,4469.0,3872021,3937589.5,18,19,1,2349,2349,10,1,1,2349,0,4460,-1
182,61021,32,32.0,3872099,3933152.5,0,1,1,29,29,10,1,1,29,0,32,-1
183,60537,32,32.0,3872103,3932672.5,0,1,1,24,24,10,1,1,24,0,32,-1
184,60532,32,32.0,3872108,3932672.5,0,1,1,18,18,10,1,1,18,0,32,-1
185,65579,33345,33345.0,3873061,3971985.5,138,139,1,32455,32455,10,1,1,32455,0,33276,-1
186,59915,23045,23045.0,3874405,3957365.5,96,97,1,13448,13448,10,1,1,13448,0,22997,-1
187,3486,13965,13965.0,3874434,3891885.0,29,30,1,19326,19338,10,0.0,0,19338,0,13950,0
188,66249,4469,4469.0,3875031,3945749.5,18,19,1,4220,4220,10,1,1,4220,0,4460,-1
189,61918,32,32.0,3875042,3936992.5,0,1,1,46,46,10,1,1,46,0,32,-1
190,1225,13965,13965.0,3884135,3899325.0,29,30,1,17065,17151,10,0.0,0,17151,0,13950,0
191,56416,4469,4469.0,3884864,3945749.5,18,19,1,3464,3464,10,1,1,3464,0,4460,-1
192,38783,622967,622967.0,3885937,4547687.0,2595,2596,1,527747,527747,10,1,1,527747,0,621669,-1
193,674,13965,13965.0,3886366,3901005.0,29,30,1,16514,16555,10,0.0,0,16555,0,13950,0
194,280550,708287,708287.0,3887530,4876367.0,1475,1476,1,1060790,1060846,10,0.0,0,1060846,0,707549,0
